/etc/tejas/mem_watch_output.txt is not created so creating it. starting at Tue Feb 17 16:39:36 IST 2015
Memory Changes in every 5m interval
MemTotal: MemFree: Buffers: Cached: SwapCached: Active: Inactive: SwapTotal: SwapFree: Dirty: Writeback: AnonPages: Mapped: Slab: SReclaimable: SUnreclaim: PageTables: NFS_Unstable: Bounce: WritebackTmp: CommitLimit: Committed_AS: VmallocTotal: VmallocUsed: VmallocChunk: 
509144 19884 45036 335608 0 265836 164256 0 0 396 0 49464 47776 51056 44236 6820 1412 0 0 0 254572 658592 768988 17460 751488 
509144 19280 45036 337212 0 266480 164260 0 0 1060 0 48508 47728 51100 44236 6864 1412 0 0 0 254572 657652 768988 17460 751488 
509144 18272 45036 337288 0 266916 164876 0 0 1308 0 49484 47776 51044 44236 6808 1412 0 0 0 254572 658592 768988 17460 751488 
509144 23976 45036 334224 0 261716 164268 0 0 0 0 46740 47500 51044 44236 6808 1412 0 0 0 254572 655444 768988 17460 751488 
509144 19032 45036 339084 0 266572 164272 0 0 2720 0 46740 47500 51024 44236 6788 1412 0 0 0 254572 655444 768988 17460 751488 
509144 19752 45036 338364 0 265852 164272 0 0 428 0 46740 47500 51044 44236 6808 1412 0 0 0 254572 655444 768988 17460 751488 
509144 21844 45036 333844 0 263880 164276 0 0 320 0 49292 47728 51068 44236 6832 1412 0 0 0 254572 658164 768988 17460 751488 
509144 16296 45036 339172 0 269424 164280 0 0 728 0 49512 47776 51044 44236 6808 1412 0 0 0 254572 658592 768988 17460 751488 
509144 22372 45036 335876 0 263376 164284 0 0 8 0 46764 47668 51040 44236 6804 1412 0 0 0 254572 655448 768988 17460 751488 
509144 22672 45036 333592 0 262972 164288 0 0 1460 0 48648 47728 51232 44236 6996 1412 0 0 0 254572 657652 768988 17460 751488 
509144 18412 45036 337164 0 267384 164288 0 0 808 0 49488 47776 51032 44240 6792 1412 0 0 0 254572 658592 768988 17460 751488 
509144 23408 45036 334340 0 262136 164292 0 0 12 0 47068 47728 51248 44240 7008 1412 0 0 0 254572 655972 768988 17460 751488 
509144 23728 45036 334340 0 261812 164292 0 0 2400 0 46744 47500 51044 44236 6808 1412 0 0 0 254572 655444 768988 17460 751488 
509144 16932 45036 337592 0 268848 164300 0 0 384 0 50536 47844 51008 44236 6772 1448 0 0 0 254572 661548 768988 17460 751488 
509144 22200 45036 333516 0 263492 164304 0 0 604 0 49260 47728 51084 44236 6848 1412 0 0 0 254572 658164 768988 17460 751488 
509144 20588 45036 335996 0 265088 164304 0 0 4568 0 48376 47728 51140 44236 6904 1412 0 0 0 254572 657268 768988 17460 751488 
509144 20216 45036 336548 0 265420 164308 0 0 100 0 48160 47728 51204 44236 6968 1412 0 0 0 254572 657012 768988 17460 751488 
509144 24448 45036 331748 0 261272 164308 0 0 424 0 48812 47728 51076 44236 6840 1412 0 0 0 254572 657908 768988 17460 751488 
509144 19000 45036 338232 0 264216 166872 0 0 3192 0 47836 47728 51060 44236 6824 1412 0 0 0 254572 656756 768988 17460 751488 
509144 23372 45036 334800 0 262244 164320 0 0 16 0 46744 47500 51028 44236 6792 1412 0 0 0 254572 655444 768988 17460 751488 
509144 25828 45036 332324 0 259764 164324 0 0 1632 0 46744 47500 51056 44236 6820 1412 0 0 0 254572 655444 768988 17460 751488 
509144 13444 45036 337620 0 272424 164328 0 0 4 0 54112 47780 51036 44236 6800 1448 0 0 0 254572 664220 768988 17460 751488 
509144 22232 45036 333364 0 263496 164328 0 0 808 0 49440 47776 51056 44236 6820 1412 0 0 0 254572 658592 768988 17460 751488 
509144 23068 45036 332488 0 262508 164336 0 0 828 0 49336 47732 51084 44236 6848 1412 0 0 0 254572 658300 768988 17460 751488 
509144 17960 45036 337628 0 267712 164336 0 0 16 0 49400 47732 51108 44236 6872 1412 0 0 0 254572 658300 768988 17460 751488 
509144 24860 45036 333332 0 260760 164340 0 0 0 0 46748 47500 51024 44236 6788 1412 0 0 0 254572 655444 768988 17460 751488 
509144 22284 45036 334128 0 263312 164344 0 0 2392 0 48508 47728 51276 44236 7040 1412 0 0 0 254572 657652 768988 17460 751488 
509144 22000 45036 336064 0 263488 164344 0 0 392 0 46748 47500 51036 44236 6800 1412 0 0 0 254572 655444 768988 17460 751488 
509144 23836 45036 331864 0 261860 164352 0 0 216 0 49328 47732 51068 44236 6832 1412 0 0 0 254572 658300 768988 17460 751488 
509144 23100 45036 335064 0 262480 164352 0 0 4284 0 46748 47500 51048 44232 6816 1412 0 0 0 254572 655444 768988 17460 751488 
509144 19256 45036 336276 0 266420 164356 0 0 412 0 49480 47776 51052 44232 6820 1412 0 0 0 254572 658592 768988 17460 751488 
509144 21968 45036 333648 0 263660 164356 0 0 2076 0 49348 47732 51072 44228 6844 1412 0 0 0 254572 658300 768988 17460 751488 
509144 20280 45036 337852 0 261896 167724 0 0 4688 0 46748 47500 51016 44228 6788 1412 0 0 0 254572 655444 768988 17460 751488 
509144 23620 45036 334576 0 261976 164368 0 0 428 0 46748 47500 51016 44228 6788 1412 0 0 0 254572 655444 768988 17460 751488 
509144 22100 45036 333540 0 263540 164368 0 0 96 0 49348 47732 51056 44224 6832 1412 0 0 0 254572 658300 768988 17460 751488 
509144 21124 45036 337064 0 264460 164372 0 0 100 0 46748 47500 51028 44224 6804 1412 0 0 0 254572 655444 768988 17460 751488 
509144 24240 45036 333900 0 261300 164372 0 0 792 0 46752 47500 51016 44224 6792 1412 0 0 0 254572 655444 768988 17460 751488 
509144 21216 45036 334608 0 262256 166664 0 0 3024 0 49292 47728 51068 44224 6844 1412 0 0 0 254572 658164 768988 17460 751488 
509144 18396 45036 337076 0 267204 164384 0 0 880 0 49492 47776 51032 44224 6808 1412 0 0 0 254572 658592 768988 17460 751488 
509144 24984 45036 333148 0 260536 164384 0 0 1388 0 46752 47500 51016 44224 6792 1412 0 0 0 254572 655444 768988 17460 751488 
509144 21588 45036 333952 0 260664 167660 0 0 5296 0 49352 47732 51068 44228 6840 1412 0 0 0 254572 658300 768988 17460 751488 
509144 20008 45036 335480 0 265584 164388 0 0 20 0 49472 47776 51036 44224 6812 1412 0 0 0 254572 658592 768988 17460 751488 
509144 23928 45036 331660 0 261616 164392 0 0 596 0 49328 47732 51084 44224 6860 1412 0 0 0 254572 658300 768988 17460 751488 
509144 24860 45036 333264 0 260640 164396 0 0 1020 0 46752 47500 51020 44224 6796 1412 0 0 0 254572 655444 768988 17460 751488 
509144 23160 45036 334504 0 262332 164400 0 0 656 0 47208 47728 51144 44224 6920 1412 0 0 0 254572 656244 768988 17460 751488 
509144 24480 45036 331052 0 261084 164404 0 0 2160 0 49416 47776 51028 44224 6804 1412 0 0 0 254572 658592 768988 17460 751488 
509144 21116 45036 334508 0 264488 164404 0 0 604 0 49364 47732 51032 44220 6812 1412 0 0 0 254572 658300 768988 17460 751488 
509144 25332 45036 332868 0 260248 164392 0 0 996 0 46752 47500 51040 44220 6820 1412 0 0 0 254572 655444 768988 17460 751488 
509144 22624 45036 329064 0 262968 164396 0 0 24 0 53280 47808 51144 44220 6924 1448 0 0 0 254572 663824 768988 17460 751488 
509144 17588 45036 337916 0 267948 164400 0 0 1840 0 49412 47732 51092 44220 6872 1412 0 0 0 254572 658300 768988 17460 751488 
509144 22904 45036 334700 0 261232 165948 0 0 2576 0 47460 47728 51232 44220 7012 1412 0 0 0 254572 656500 768988 17460 751488 
509144 25216 45040 332960 0 260332 164408 0 0 4 0 46756 47500 51032 44220 6812 1412 0 0 0 254572 655444 768988 17460 751488 
509144 17776 45040 337732 0 267844 164416 0 0 760 0 49504 47776 51024 44220 6804 1412 0 0 0 254572 658592 768988 17460 751488 
509144 21960 45040 333492 0 263560 164412 0 0 692 0 49456 47776 51068 44220 6848 1412 0 0 0 254572 658592 768988 17460 751488 
509144 24720 45040 333444 0 260808 164416 0 0 188 0 46756 47500 51024 44220 6804 1412 0 0 0 254572 655444 768988 17460 751488 
509144 19404 45040 336076 0 266168 164416 0 0 1884 0 49484 47776 51012 44220 6792 1412 0 0 0 254572 658592 768988 17460 751488 
509144 21696 45040 333912 0 263872 164424 0 0 348 0 49360 47732 51080 44220 6860 1412 0 0 0 254572 658300 768988 17460 751488 
509144 23388 45040 334720 0 262068 164432 0 0 4 140 46756 47500 51008 44220 6788 1412 0 0 0 254572 655444 768988 17460 751488 
509144 12932 45068 336964 0 272600 164532 0 0 844 0 55116 47836 51028 44212 6816 1452 0 0 0 254572 665148 768988 17460 751488 
509144 23116 45068 334932 0 262308 164432 0 0 12 0 46756 47500 51012 44212 6800 1412 0 0 0 254572 655444 768988 17460 751488 
